Wavelength (nm)	Al_n	Al_k
300	0.27571	3.61265
301	0.27754	3.62538
302	0.27937	3.63812
303	0.2812	3.65085
304	0.28303	3.66359
305	0.28485	3.67632
306	0.28668	3.68906
307	0.28851	3.70179
308	0.29034	3.71453
309	0.29217	3.72726
310	0.294	3.74
311	0.29596	3.75263
312	0.29792	3.76525
313	0.29988	3.77788
314	0.30185	3.7905
315	0.30381	3.80313
316	0.30577	3.81575
317	0.30773	3.82838
318	0.30969	3.84101
319	0.31165	3.85363
320	0.31361	3.86626
321	0.31557	3.87888
322	0.31754	3.89151
323	0.3195	3.90414
324	0.32146	3.91676
325	0.32342	3.92939
326	0.32538	3.94201
327	0.3274	3.95461
328	0.32944	3.96718
329	0.33148	3.97976
330	0.33352	3.99234
331	0.33556	4.00491
332	0.3376	4.01749
333	0.33964	4.03007
334	0.34168	4.04264
335	0.34372	4.05522
336	0.34577	4.0678
337	0.34781	4.08037
338	0.34985	4.09295
339	0.35189	4.10553
340	0.35393	4.1181
341	0.35597	4.13068
342	0.35801	4.14326
343	0.36005	4.15583
344	0.36209	4.16841
345	0.36421	4.18091
346	0.36638	4.19335
347	0.36855	4.20578
348	0.37072	4.21822
349	0.37289	4.23066
350	0.37506	4.2431
351	0.37724	4.25553
352	0.37941	4.26797
353	0.38158	4.28041
354	0.38375	4.29285
355	0.38592	4.30528
356	0.38809	4.31772
357	0.39027	4.33016
358	0.39244	4.3426
359	0.39461	4.35503
360	0.39678	4.36747
361	0.39895	4.37991
362	0.40112	4.39235
363	0.4033	4.40478
364	0.40547	4.41722
365	0.40768	4.42964
366	0.41001	4.44201
367	0.41233	4.45438
368	0.41466	4.46675
369	0.41698	4.47913
370	0.41931	4.4915
371	0.42163	4.50387
372	0.42396	4.51624
373	0.42629	4.52861
374	0.42861	4.54098
375	0.43094	4.55335
376	0.43326	4.56573
377	0.43559	4.5781
378	0.43791	4.59047
379	0.44024	4.60284
380	0.44256	4.61521
381	0.44489	4.62758
382	0.44721	4.63996
383	0.44954	4.65233
384	0.45186	4.6647
385	0.45419	4.67707
386	0.45651	4.68944
387	0.45884	4.70181
388	0.46122	4.71412
389	0.46366	4.72635
390	0.4661	4.73858
391	0.46854	4.75081
392	0.47097	4.76305
393	0.47341	4.77528
394	0.47585	4.78751
395	0.47829	4.79974
396	0.48073	4.81197
397	0.48317	4.82421
398	0.48561	4.83644
399	0.48805	4.84867
400	0.49048	4.8609
401	0.49292	4.87314
402	0.49536	4.88537
403	0.4978	4.8976
404	0.50024	4.90983
405	0.50268	4.92206
406	0.50512	4.9343
407	0.50755	4.94653
408	0.50999	4.95876
409	0.51243	4.97099
410	0.51487	4.98323
411	0.51731	4.99546
412	0.51975	5.00769
413	0.52219	5.01992
414	0.52469	5.03215
415	0.52723	5.04438
416	0.52977	5.05661
417	0.53231	5.06883
418	0.53485	5.08106
419	0.5374	5.09329
420	0.53994	5.10552
421	0.54248	5.11774
422	0.54502	5.12997
423	0.54756	5.1422
424	0.5501	5.15443
425	0.55264	5.16665
426	0.55518	5.17888
427	0.55772	5.19111
428	0.56026	5.20334
429	0.5628	5.21556
430	0.56534	5.22779
431	0.56788	5.24002
432	0.57042	5.25225
433	0.57296	5.26447
434	0.5755	5.2767
435	0.57804	5.28893
436	0.58058	5.30115
437	0.58312	5.31338
438	0.58566	5.32561
439	0.5882	5.33784
440	0.59074	5.35006
441	0.59328	5.36229
442	0.59582	5.37452
443	0.59841	5.38674
444	0.60125	5.39892
445	0.6041	5.4111
446	0.60695	5.42329
447	0.6098	5.43547
448	0.61264	5.44765
449	0.61549	5.45983
450	0.61834	5.47202
451	0.62119	5.4842
452	0.62403	5.49638
453	0.62688	5.50856
454	0.62973	5.52075
455	0.63258	5.53293
456	0.63542	5.54511
457	0.63827	5.55729
458	0.64112	5.56947
459	0.64397	5.58166
460	0.64681	5.59384
461	0.64966	5.60602
462	0.65251	5.6182
463	0.65536	5.63039
464	0.6582	5.64257
465	0.66105	5.65475
466	0.6639	5.66693
467	0.66674	5.67911
468	0.66959	5.6913
469	0.67244	5.70348
470	0.67529	5.71566
471	0.67813	5.72784
472	0.68098	5.74003
473	0.68383	5.75221
474	0.68668	5.76439
475	0.68952	5.77657
476	0.69237	5.78875
477	0.69525	5.80093
478	0.69855	5.81309
479	0.70185	5.82524
480	0.70514	5.83739
481	0.70844	5.84955
482	0.71173	5.8617
483	0.71503	5.87385
484	0.71833	5.88601
485	0.72162	5.89816
486	0.72492	5.91031
487	0.72821	5.92246
488	0.73151	5.93462
489	0.73481	5.94677
490	0.7381	5.95892
491	0.7414	5.97108
492	0.7447	5.98323
493	0.74799	5.99538
494	0.75129	6.00753
495	0.75458	6.01969
496	0.75788	6.03184
497	0.76118	6.04399
498	0.76447	6.05615
499	0.76777	6.0683
