Wavelength (nm)	ITOsorizon_n	ITOsorizon_k
300	2.2813	0.00187
301	2.2772	0.018603
302	2.2726	0.018079
303	2.2677	0.012044
304	2.2625	0.015326
305	2.2579	0.008774
306	2.2539	0.0072714
307	2.2475	0.0096037
308	2.2415	0.0068349
309	2.2361	0.016937
310	2.2313	0.020463
311	2.2263	0.024543
312	2.2198	0.027014
313	2.2134	0.022376
314	2.2071	0.02211
315	2.2033	0.024245
316	2.1991	0.024293
317	2.1943	0.029667
318	2.189	0.028785
319	2.1836	0.026074
320	2.178	0.027697
321	2.1735	0.027027
322	2.1694	0.025978
323	2.1626	0.025679
324	2.1567	0.021698
325	2.1521	0.019034
326	2.1471	0.02045
327	2.1419	0.020627
328	2.1357	0.022622
329	2.1306	0.023577
330	2.1262	0.022893
331	2.1228	0.022661
332	2.1181	0.020708
333	2.1117	0.020224
334	2.1074	0.020013
335	2.1034	0.019556
336	2.0996	0.02072
337	2.0958	0.021017
338	2.0919	0.019538
339	2.0886	0.019201
340	2.0856	0.018182
341	2.0828	0.017667
342	2.08	0.018114
343	2.0766	0.017231
344	2.0718	0.016527
345	2.067	0.017471
346	2.0623	0.016735
347	2.0576	0.016918
348	2.0533	0.016522
349	2.0496	0.015512
350	2.0479	0.015817
351	2.0447	0.01492
352	2.0381	0.014959
353	2.0359	0.014533
354	2.0349	0.013847
355	2.0314	0.013409
356	2.028	0.012806
357	2.0246	0.012533
358	2.0224	0.012349
359	2.0195	0.012155
360	2.0154	0.011969
361	2.0119	0.012039
362	2.0091	0.011581
363	2.0086	0.011391
364	2.0052	0.010411
365	1.9994	0.0099474
366	1.9968	0.0097086
367	1.9946	0.0092788
368	1.9932	0.009074
369	1.9897	0.0082
370	1.9864	0.0078682
371	1.986	0.0077123
372	1.9843	0.0077311
373	1.9817	0.0077597
374	1.9806	0.0075086
375	1.9791	0.0070569
376	1.9768	0.0070063
377	1.9748	0.006755
378	1.973	0.0065038
379	1.9712	0.0065226
380	1.9691	0.00627
381	1.9669	0.0057477
382	1.9645	0.00575
383	1.9635	0.005218
384	1.9644	0.00523
385	1.9614	0.00481
386	1.9587	0.0047046
387	1.9599	0.00472
388	1.9591	0.00445
389	1.9572	0.0041482
390	1.9562	0.00391
391	1.9551	0.00364
392	1.954	0.0031476
393	1.9508	0.0031
394	1.9477	0.00295
395	1.9463	0.0026982
396	1.946	0.00284
397	1.9462	0.0027732
398	1.9439	0.00257
399	1.9431	0.00229
400	1.9438	0.00229
401	1.9428	0.00201
402	1.9418	0.00202
403	1.9412	0.00231
404	1.9415	0.00232
405	1.9419	0.00232
406	1.9392	0.0022276
407	1.9376	0.0023326
408	1.9369	0.00205
409	1.9356	0.00205
410	1.9347	0.0017688
411	1.9349	0.00177
412	1.9337	0.00148
413	1.9324	0.0012743
414	1.9334	0.00148
415	1.9332	0.00149
416	1.932	0.00179
417	1.9321	0.0016962
418	1.9323	0.0015
419	1.9324	0.0012
420	1.9317	0.0012006
421	1.9309	0.00121
422	1.9318	0.00121
423	1.9312	0.00152
424	1.9295	0.00152
425	1.9306	0.00122
426	1.931	0.00122
427	1.9299	0.0012249
428	1.9301	0.00123
429	1.93	0.00123
430	1.9258	0.0011517
431	1.9256	0.00092697
432	1.9285	0.00095649
433	1.9274	0.00093127
434	1.9255	0.00124
435	1.9228	0.00125
436	1.9251	0.00125
437	1.928	0.00125
438	1.9281	0.00126
439	1.9265	0.00126
440	1.9236	0.00126
441	1.9263	0.0014432
442	1.9283	0.0015838
443	1.929	0.0014865
444	1.9279	0.0015147
445	1.9269	0.0015918
446	1.9281	0.0016
447	1.9296	0.0016188
448	1.931	0.00193
449	1.929	0.00193
450	1.9292	0.0019385
451	1.9323	0.00194
452	1.9311	0.00194
453	1.9296	0.0020535
454	1.9295	0.00195
455	1.9311	0.00196
456	1.9334	0.00196
457	1.9312	0.0021206
458	1.9293	0.0023
459	1.9278	0.0024165
460	1.928	0.00264
461	1.9286	0.0026426
462	1.9296	0.00298
463	1.9307	0.00299
464	1.9317	0.0029912
465	1.9309	0.003
466	1.9292	0.00301
467	1.9266	0.00301
468	1.9274	0.0033591
469	1.9286	0.00366
470	1.9295	0.0037082
471	1.9299	0.0033779
472	1.9298	0.00338
473	1.9275	0.00339
474	1.9257	0.0034
475	1.9246	0.0034064
476	1.9263	0.00375
477	1.9262	0.00376
478	1.9214	0.00377
479	1.9198	0.00412
480	1.9188	0.00413
481	1.9146	0.00428
482	1.9122	0.00449
483	1.9115	0.0045
484	1.9122	0.00451
485	1.9117	0.0046229
486	1.909	0.00453
487	1.9058	0.00489
488	1.9026	0.00455
489	1.8999	0.0046236
490	1.8991	0.00492
491	1.8996	0.00493
492	1.8989	0.00494
493	1.8971	0.00495
494	1.8935	0.0053109
495	1.8912	0.0053206
496	1.8894	0.0053303
497	1.8875	0.0057
