Wavelength (nm)	PCBM_n	PCBM_k
300	2.12362	0.53945
301	2.12033	0.53194
302	2.11767	0.52431
303	2.11562	0.51676
304	2.11318	0.5097
305	2.10953	0.50358
306	2.10714	0.49719
307	2.10461	0.49097
308	2.10176	0.485
309	2.09711	0.48027
310	2.09318	0.4754
311	2.08971	0.47043
312	2.08393	0.46601
313	2.07938	0.46132
314	2.0758	0.45676
315	2.07253	0.45766
316	2.07029	0.45845
317	2.06896	0.45913
318	2.0659	0.46019
319	2.06288	0.46125
320	2.05994	0.46228
321	2.05595	0.46356
322	2.05258	0.4647
323	2.05126	0.46537
324	2.05033	0.46787
325	2.04965	0.47134
326	2.04989	0.47659
327	2.05072	0.48168
328	2.05235	0.48654
329	2.05517	0.49107
330	2.05862	0.49553
331	2.06456	0.50027
332	2.07135	0.50492
333	2.07931	0.50945
334	2.08903	0.51345
335	2.09944	0.51725
336	2.11005	0.51733
337	2.12102	0.517
338	2.13301	0.5155
339	2.14485	0.51405
340	2.15654	0.51264
341	2.16762	0.50819
342	2.17848	0.50265
343	2.18876	0.49604
344	2.19879	0.48917
345	2.20737	0.48095
346	2.21576	0.47244
347	2.22372	0.46328
348	2.23041	0.4544
349	2.23556	0.44587
350	2.24018	0.43633
351	2.24442	0.42608
352	2.24749	0.41605
353	2.25002	0.40612
354	2.25198	0.39619
355	2.25378	0.38626
356	2.25441	0.37672
357	2.25483	0.36724
358	2.25427	0.3583
359	2.25359	0.34942
360	2.25204	0.34194
361	2.25042	0.33458
362	2.24858	0.32843
363	2.24673	0.32238
364	2.24467	0.31639
365	2.2426	0.31042
366	2.24048	0.30491
367	2.23835	0.29948
368	2.23656	0.29405
369	2.23485	0.28863
370	2.23296	0.28326
371	2.231	0.27792
372	2.22906	0.27309
373	2.22713	0.26861
374	2.22489	0.2642
375	2.22226	0.25987
376	2.21959	0.25555
377	2.21684	0.25126
378	2.21405	0.24708
379	2.2109	0.24372
380	2.20776	0.24036
381	2.20557	0.23754
382	2.20348	0.23477
383	2.20142	0.23202
384	2.19936	0.22927
385	2.1968	0.22658
386	2.19347	0.22399
387	2.19023	0.22141
388	2.18771	0.21898
389	2.18519	0.21656
390	2.18283	0.21458
391	2.1805	0.21273
392	2.17847	0.21085
393	2.1768	0.20895
394	2.17509	0.20705
395	2.17282	0.20523
396	2.17054	0.2034
397	2.16847	0.20157
398	2.16651	0.19973
399	2.16454	0.19789
400	2.16258	0.19607
