Wavelength (nm)	PEDOT_n	PEDOT_k
300	1.70023	0.01975
301	1.69667	0.01951
302	1.69355	0.01928
303	1.69099	0.01904
304	1.68843	0.01881
305	1.68587	0.01857
306	1.68239	0.01834
307	1.67883	0.0181
308	1.67527	0.01787
309	1.67279	0.01763
310	1.67115	0.0174
311	1.66951	0.01716
312	1.66787	0.01693
313	1.66539	0.01669
314	1.66283	0.01646
315	1.66027	0.01622
316	1.65808	0.01599
317	1.65644	0.01575
318	1.6548	0.01552
319	1.65316	0.01528
320	1.65152	0.01505
321	1.64988	0.01481
322	1.64824	0.01458
323	1.64669	0.01434
324	1.6459	0.01411
325	1.64511	0.01387
326	1.64432	0.01364
327	1.64326	0.0134
328	1.64162	0.01317
329	1.63998	0.01293
330	1.63834	0.0127
331	1.6367	0.01246
332	1.63506	0.01223
333	1.63342	0.01199
334	1.6318	0.01176
335	1.6318	0.01152
336	1.6318	0.01129
337	1.6318	0.01105
338	1.63167	0.01082
339	1.63003	0.01058
340	1.62839	0.01035
341	1.62675	0.01011
342	1.62511	0.00988
343	1.62347	0.00964
344	1.62182	0.00941
345	1.62018	0.00917
346	1.61921	0.00894
347	1.61842	0.0087
348	1.61763	0.00847
349	1.61684	0.00823
350	1.61605	0.008
351	1.61526	0.00803
352	1.61447	0.00805
353	1.61368	0.00808
354	1.61289	0.00811
355	1.6121	0.00814
356	1.61131	0.00816
357	1.61052	0.00819
358	1.60973	0.00822
359	1.60894	0.00825
360	1.60815	0.00827
361	1.60684	0.0083
362	1.6052	0.00833
363	1.60356	0.00836
364	1.60192	0.00838
365	1.6011	0.00841
366	1.60031	0.00844
367	1.59952	0.00847
368	1.59873	0.00849
369	1.59794	0.00852
370	1.59715	0.00855
371	1.59636	0.00858
372	1.59557	0.0086
373	1.59478	0.00863
374	1.59399	0.00866
375	1.5932	0.00868
376	1.59241	0.00871
377	1.59162	0.00874
378	1.59083	0.00877
379	1.59004	0.00879
380	1.58857	0.00882
381	1.58693	0.00885
382	1.58529	0.00888
383	1.58389	0.0089
384	1.58389	0.00893
385	1.58389	0.00896
386	1.58389	0.00899
387	1.58354	0.00901
388	1.5819	0.00904
389	1.58026	0.00907
390	1.57862	0.0091
391	1.57746	0.00912
392	1.57667	0.00915
393	1.57588	0.00918
394	1.57509	0.00921
395	1.5743	0.00923
396	1.57351	0.00926
397	1.57272	0.00929
398	1.57193	0.00932
399	1.57114	0.00934
400	1.57035	0.00937
401	1.56956	0.00943
402	1.56877	0.00949
403	1.56798	0.00956
404	1.56719	0.00962
405	1.5664	0.00968
406	1.56561	0.00974
407	1.56482	0.0098
408	1.56403	0.00986
409	1.56324	0.00993
410	1.56293	0.00999
411	1.56293	0.01005
