Wavelength (nm)	Si_n	Si_k 
[mum]
0.1908	0.84	2.73
0.1984	0.968	2.89
0.2066	1.01	2.909
0.2073	1.036	2.928
0.208	1.046	2.944
0.2087	1.066	2.937
0.2094	1.07	2.963
0.2101	1.083	2.982
0.2109	1.088	2.987
0.2116	1.102	3.005
0.2123	1.109	3.015
0.213	1.119	3.025
0.2138	1.133	3.045
0.2145	1.139	3.061
0.2153	1.155	3.073
0.216	1.164	3.086
0.2168	1.175	3.102
0.2175	1.18	3.112
0.2183	1.195	3.135
0.2191	1.211	3.15
0.2198	1.222	3.169
0.2206	1.235	3.19
0.2214	1.247	3.206
0.2222	1.265	3.228
0.223	1.28	3.245
0.2238	1.299	3.267
0.2246	1.319	3.285
0.2254	1.34	3.302
0.2263	1.362	3.319
0.2271	1.389	3.334
0.2279	1.416	3.35
0.2296	1.471	3.366
0.2305	1.502	3.368
0.2313	1.526	3.368
0.2322	1.548	3.364
0.2339	1.579	3.353
0.2348	1.585	3.346
0.2357	1.59	3.344
0.2366	1.591	3.344
0.2375	1.592	3.347
0.2384	1.589	3.354
0.2394	1.586	3.363
0.2403	1.582	3.376
0.2412	1.579	3.389
0.2422	1.573	3.408
0.2431	1.571	3.429
0.2441	1.57	3.451
0.245	1.569	3.477
0.246	1.568	3.504
0.247	1.569	3.533
0.248	1.57	3.565
0.249	1.575	3.598
0.25	1.58	3.632
0.251	1.584	3.67
0.252	1.591	3.709
0.253	1.597	3.749
0.2541	1.608	3.789
0.2551	1.618	3.835
0.2562	1.629	3.88
0.2572	1.643	3.928
0.2583	1.658	3.979
0.2594	1.673	4.031
0.2605	1.692	4.088
0.2616	1.713	4.149
0.2627	1.737	4.211
0.2638	1.764	4.278
0.2649	1.794	4.35
0.2661	1.831	4.426
0.2672	1.874	4.506
0.2684	1.927	4.59
0.2695	1.988	4.678
0.2707	2.059	4.764
0.2719	2.14	4.849
0.2731	2.234	4.933
0.2743	2.339	5.011
0.2755	2.451	5.082
0.2768	2.572	5.148
0.278	2.7	5.206
0.2792	2.833	5.257
0.2805	2.974	5.304
0.2818	3.12	5.344
0.2831	3.277	5.381
0.2844	3.444	5.414
0.2857	3.634	5.435
0.287	3.849	5.439
0.2883	4.086	5.395
0.2897	4.318	5.301
0.291	4.525	5.158
0.2924	4.686	4.989
0.2938	4.805	4.812
0.2952	4.888	4.639
0.2966	4.941	4.48
0.298	4.977	4.335
0.2995	4.999	4.204
0.3009	5.012	4.086
0.3024	5.02	3.979
0.3039	5.021	3.885
0.3054	5.02	3.798
0.3069	5.018	3.72
0.3084	5.015	3.65
0.31	5.01	3.587
0.3115	5.009	3.529
0.3131	5.01	3.477
0.3147	5.009	3.429
0.3163	5.012	3.386
0.3179	5.016	3.346
0.3195	5.021	3.31
0.3212	5.029	3.275
0.3229	5.04	3.242
0.3246	5.052	3.211
0.3263	5.065	3.182
0.328	5.079	3.154
0.3297	5.095	3.128
0.3315	5.115	3.103
0.3333	5.134	3.079
0.3351	5.156	3.058
0.3369	5.179	3.039
0.3388	5.204	3.021
0.3406	5.231	3.007
0.3425	5.261	2.995
0.3444	5.296	2.987
0.3463	5.336	2.983
0.3483	5.383	2.984
0.3502	5.442	2.989
0.3522	5.515	2.999
0.3542	5.61	3.014
0.3563	5.733	3.026
0.3583	5.894	3.023
0.3604	6.089	2.982
0.3625	6.308	2.881
0.3647	6.522	2.705
0.3668	6.695	2.456
0.369	6.796	2.169
0.3712	6.829	1.87
0.3734	6.799	1.577
0.3757	6.709	1.321
0.38	6.548	0.88602
0.39	5.976	0.46553
0.4	5.587	0.30303
0.41	5.305	0.2199
0.42	5.091	0.16711
0.43	4.925	0.13414
0.44	4.793	0.10889
0.45	4.676	0.091315
0.46	4.577	0.076872
0.47	4.491	0.06433
0.48	4.416	0.056532
0.49	4.348	0.049521
0.5	4.293	0.044165
0.51	4.239	0.039367
0.52	4.192	0.036415
0.53	4.15	0.033108
0.54	4.11	0.030295
0.55	4.077	0.027968
0.56	4.044	0.025758
0.57	4.015	0.024131
0.58	3.986	0.022524
0.59	3.962	0.021081
0.6	3.939	0.019767
0.61	3.916	0.018495
0.62	3.895	0.017367
0.63	3.879	0.016394
0.64	3.861	0.015483
0.65	3.844	0.014535
0.66	3.83	0.01355
0.67	3.815	0.012689
0.68	3.8	0.011959
0.69	3.787	0.011256
0.7	3.774	0.010584
0.71	3.762	0.010001
0.72	3.751	9.5111e-03
0.73	3.741	8.9461e-03
0.74	3.732	8.3620e-03
0.75	3.723	7.7588e-03
0.76	3.714	7.1970e-03
0.77	3.705	6.7402e-03
0.78	3.696	6.2691e-03
0.79	3.688	5.8340e-03
0.8	3.681	5.4113e-03
0.81	3.674	4.9955e-03
0.82	3.668	4.6134e-03
0.83	3.662	4.2734e-03
0.84	3.656	3.9505e-03
0.85	3.65	3.6188e-03
0.86	3.644	3.2850e-03
0.87	3.638	2.9908e-03
0.88	3.632	2.6821e-03
0.89	3.626	2.4293e-03
0.9	3.62	2.1916e-03
0.91	3.614	1.9697e-03
0.92	3.608	1.7571e-03
0.93	3.602	1.5541e-03
0.94	3.597	1.3689e-03
0.95	3.592	1.1869e-03
0.96	3.587	1.0237e-03
0.97	3.582	8.7997e-04
0.98	3.578	7.4788e-04
0.99	3.574	6.2395e-04
1	3.57	5.0930e-04
1.01	3.566	4.1071e-04
1.02	3.563	3.2386e-04
1.03	3.56	2.4753e-04
1.04	3.557	1.8704e-04
1.05	3.554	1.3620e-04
1.06	3.551	9.3631e-05
1.07	3.548	6.8118e-05
1.08	3.546	5.3285e-05
1.09	3.544	4.0768e-05
1.1	3.541	3.0637e-05
1.11	3.539	2.3849e-05
1.12	3.537	1.7825e-05
1.13	3.534	1.3488e-05
1.14	3.532	9.0718e-06
1.15	3.53	6.2230e-06
1.16	3.528	3.8770e-06
1.17	3.526	2.0483e-06
1.18	3.524	6.1036e-07
1.19	3.522	3.4091e-07
1.2	3.52	2.1008e-07
1.21	3.528	1.2518e-07
1.22	3.516	7.9609e-08
1.23	3.515	4.6004e-08
1.24	3.513	2.3682e-08
1.25	3.511	9.9472e-09
1.26	3.51	3.6096e-09
1.27	3.508	2.0213e-09
1.28	3.507	1.2223e-09
1.29	3.506	7.2885e-10
1.3	3.504	4.6553e-10
1.31	3.503	2.8147e-10
