> Air Mass 1.5 spectrum "Direct + Circumsolar" (DCS) "edition 2", normalised to 1 sun (1000 W/m2)
> Direct = Direct Normal Irradiance Nearly parallel (0.5 deg divergent cone) radiation 
> on surface with surface normal tracking (pointing to) the sun, 
> excluding scattered sky and reflected ground radiation
> Circumsolar = Spectral irradiance within +/- 2.5 degree (5 degree diameter) field of view 
> centered on the 0.5 deg diameter solar disk, but excluding the radiation from the disk  
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5CDS ed.2 spectrum (summing the data in the second column) is 900.17492878 W/m2
> In this table, the spectrum is normalised to 1 sun incident power (1000 W/m2)
> by multiplying the second column with 1000/900.17492878
>
>lambda (nm)	P(W/m2)
280.0	2.113006E-26
280.5	6.063821E-25
281.0	3.402283E-24
281.5	1.526314E-22
282.0	1.574472E-21
282.5	7.371345E-21
283.0	3.757381E-20
283.5	8.117311E-20
284.0	2.768240E-18
284.5	1.201100E-17
285.0	4.998917E-17
285.5	3.578416E-16
286.0	1.305468E-15
286.5	1.025245E-14
287.0	4.029606E-14
287.5	2.033938E-13
288.0	1.558641E-12
288.5	5.035188E-12
289.0	1.942845E-11
289.5	8.536119E-11
290.0	2.858000E-10
290.5	7.389119E-10
291.0	2.164302E-09
291.5	8.012332E-09
292.0	2.265615E-08
292.5	3.911129E-08
293.0	8.753854E-08
293.5	2.615880E-07
294.0	5.252201E-07
294.5	8.867721E-07
295.0	1.791096E-06
295.5	4.455023E-06
296.0	8.185631E-06
296.5	1.294859E-05
297.0	1.843364E-05
297.5	3.772156E-05
298.0	6.180465E-05
298.5	7.926237E-05
299.0	1.128836E-04
299.5	2.076596E-04
300.0	2.534563E-04
300.5	3.177549E-04
301.0	5.106008E-04
301.5	7.332464E-04
302.0	8.092871E-04
302.5	1.216986E-03
303.0	2.073597E-03
303.5	2.668592E-03
304.0	2.831283E-03
304.5	3.592357E-03
305.0	4.962147E-03
305.5	5.657789E-03
306.0	5.637793E-03
306.5	6.425418E-03
307.0	8.468354E-03
307.5	1.081345E-02
308.0	1.152720E-02
308.5	1.263643E-02
309.0	1.238537E-02
309.5	1.314856E-02
310.0	1.545588E-02
310.5	1.992890E-02
311.0	2.521288E-02
311.5	2.563724E-02
312.0	2.827117E-02
312.5	2.986420E-02
313.0	3.239537E-02
313.5	3.277085E-02
314.0	3.625184E-02
314.5	3.914572E-02
315.0	4.092871E-02
315.5	3.601133E-02
316.0	3.726387E-02
316.5	4.505680E-02
317.0	5.166774E-02
317.5	5.538479E-02
318.0	5.322021E-02
318.5	5.557253E-02
319.0	6.093816E-02
319.5	5.939401E-02
320.0	6.263783E-02
320.5	7.390230E-02
321.0	7.450774E-02
321.5	7.119172E-02
322.0	6.776461E-02
322.5	6.648708E-02
323.0	6.455967E-02
323.5	7.439110E-02
324.0	8.249508E-02
324.5	8.591108E-02
325.0	8.611660E-02
325.5	9.962508E-02
326.0	1.159108E-01
326.5	1.230983E-01
327.0	1.212764E-01
327.5	1.182270E-01
328.0	1.098287E-01
328.5	1.148388E-01
329.0	1.294026E-01
329.5	1.436610E-01
330.0	1.454828E-01
330.5	1.338795E-01
331.0	1.268365E-01
331.5	1.312800E-01
332.0	1.361291E-01
332.5	1.369456E-01
333.0	1.347683E-01
333.5	1.292249E-01
334.0	1.323243E-01
334.5	1.412725E-01
335.0	1.470659E-01
335.5	1.438276E-01
336.0	1.322687E-01
336.5	1.227484E-01
337.0	1.209043E-01
337.5	1.301636E-01
338.0	1.406449E-01
338.5	1.474658E-01
339.0	1.505041E-01
339.5	1.546755E-01
340.0	1.647402E-01
340.5	1.648235E-01
341.0	1.551476E-01
341.5	1.547088E-01
342.0	1.617519E-01
342.5	1.682784E-01
343.0	1.713945E-01
343.5	1.624462E-01
344.0	1.408171E-01
344.5	1.357458E-01
345.0	1.547144E-01
345.5	1.653068E-01
346.0	1.618130E-01
346.5	1.652290E-01
347.0	1.684006E-01
347.5	1.630294E-01
348.0	1.627795E-01
348.5	1.659900E-01
349.0	1.603244E-01
349.5	1.650790E-01
350.0	1.828145E-01
350.5	1.970228E-01
351.0	1.922015E-01
351.5	1.854528E-01
352.0	1.814869E-01
352.5	1.719332E-01
353.0	1.831588E-01
353.5	2.019108E-01
354.0	2.139751E-01
354.5	2.168634E-01
355.0	2.174022E-01
355.5	2.103924E-01
356.0	1.978893E-01
356.5	1.860472E-01
357.0	1.640070E-01
357.5	1.663566E-01
358.0	1.551698E-01
358.5	1.444053E-01
359.0	1.702447E-01
