> Air Mass 1.5 spectrum "Global Tilt" "edition 2", normalised to 1 sun (1000 W/m2)
> Global tilt = spectral radiation from solar disk plus sky diffuse and diffuse reflected from ground on south facing surface tilted 37 deg from horizontal
> Source: "ASTM G173-03 Reference Spectra 
Derived from SMARTS v. 2.9.2 (AM1.5)"							
> (NREL website, april 2009)
> Adaption to SCAPS format: MB 17-5-2009
> The first column is wavelength in nm
> The value in the second column is the incident power, in W/m2, in a wavelength range from half-away the preceeding lambda-interval, to half-away the next lambda-interval
> (we have artificially added one line before the table: 279 nm, 0 W/m2/nm
>   and one line after the table: 4010 nm, 0 W/m2/nm)
> The total incident power of the AM1.5G ed.2 spectrum (summing the data in the second column) is 1000.40617707 W/m2
> Tn this table, the spectrum is normalised to 1 sun incident power (1000 W/m2)
> by multiplying the second column with 1000/1000.40617707
>
>lambda (nm)	P(W/m2)
280.0	3.546734E-23
280.5	6.151002E-22
281.0	2.843595E-21
281.5	7.827821E-20
282.0	5.970575E-19
282.5	2.270878E-18
283.0	9.222254E-18
283.5	1.767282E-17
284.0	3.632025E-16
284.5	1.242295E-15
285.0	4.005473E-15
285.5	2.129785E-14
286.0	6.839222E-14
286.5	4.189448E-13
287.0	1.367794E-12
287.5	5.449287E-12
288.0	3.115585E-11
288.5	8.577516E-11
289.0	2.812108E-10
289.5	1.037029E-09
290.0	3.007179E-09
290.5	6.888702E-09
291.0	1.751888E-08
291.5	5.454285E-08
292.0	1.340955E-07
292.5	2.133383E-07
293.0	4.321545E-07
293.5	1.134889E-06
294.0	2.086353E-06
294.5	3.294212E-06
295.0	6.142505E-06
295.5	1.390735E-05
296.0	2.394228E-05
296.5	3.565802E-05
297.0	4.838035E-05
297.5	9.300222E-05
298.0	1.448812E-04
298.5	1.788723E-04
299.0	2.459551E-04
299.5	4.301653E-04
300.0	5.100428E-04
300.5	6.222473E-04
301.0	9.646082E-04
301.5	1.345154E-03
302.0	1.459857E-03
302.5	2.141130E-03
303.0	3.545810E-03
303.5	4.487927E-03
304.0	4.733128E-03
304.5	5.974073E-03
305.0	8.228158E-03
305.5	9.355700E-03
306.0	9.284729E-03
306.5	1.054971E-02
307.0	1.391885E-02
307.5	1.781027E-02
308.0	1.891082E-02
308.5	2.070659E-02
309.0	2.025877E-02
309.5	2.164421E-02
310.0	2.545916E-02
310.5	3.275669E-02
311.0	4.144417E-02
311.5	4.202293E-02
312.0	4.666904E-02
312.5	4.947191E-02
313.0	5.364321E-02
313.5	5.376316E-02
314.0	5.982070E-02
314.5	6.527349E-02
315.0	6.809734E-02
315.5	5.916597E-02
316.0	6.171493E-02
316.5	7.514948E-02
317.0	8.575517E-02
317.5	9.118796E-02
318.0	8.793428E-02
318.5	9.291726E-02
319.0	1.023084E-01
319.5	9.790523E-02
320.0	1.025933E-01
320.5	1.225752E-01
321.0	1.250692E-01
321.5	1.191666E-01
322.0	1.109699E-01
322.5	1.085009E-01
323.0	1.060869E-01
323.5	1.242545E-01
324.0	1.376291E-01
324.5	1.415475E-01
325.0	1.394134E-01
325.5	1.621142E-01
326.0	1.905226E-01
326.5	2.035273E-01
327.0	1.989492E-01
327.5	1.922469E-01
328.0	1.755087E-01
328.5	1.857446E-01
329.0	2.110893E-01
329.5	2.342948E-01
330.0	2.355993E-01
330.5	2.139131E-01
331.0	2.012283E-01
331.5	2.089451E-01
332.0	2.180264E-01
332.5	2.195058E-01
333.0	2.146328E-01
333.5	2.035373E-01
334.0	2.074008E-01
334.5	2.224546E-01
335.0	2.318458E-01
335.5	2.264730E-01
336.0	2.075107E-01
336.5	1.909924E-01
337.0	1.868241E-01
337.5	2.001737E-01
338.0	2.169669E-01
338.5	2.275426E-01
339.0	2.316809E-01
339.5	2.371337E-01
340.0	2.507981E-01
340.5	2.502534E-01
341.0	2.355993E-01
341.5	2.345797E-01
342.0	2.445707E-01
342.5	2.537319E-01
343.0	2.573405E-01
343.5	2.429463E-01
344.0	2.091301E-01
344.5	2.014532E-01
345.0	2.293968E-01
345.5	2.445607E-01
346.0	2.387930E-01
346.5	2.431862E-01
347.0	2.469197E-01
347.5	2.382732E-01
348.0	2.374585E-01
348.5	2.415819E-01
349.0	2.327255E-01
349.5	2.389280E-01
350.0	2.638828E-01
350.5	2.835898E-01
351.0	2.757480E-01
351.5	2.650024E-01
352.0	2.588499E-01
352.5	2.447106E-01
353.0	2.600944E-01
353.5	2.860238E-01
354.0	3.023672E-01
354.5	3.056558E-01
355.0	3.055759E-01
355.5	2.950202E-01
356.0	2.768226E-01
356.5	2.596046E-01
357.0	2.282723E-01
357.5	2.309812E-01
358.0	2.149427E-01
358.5	1.995489E-01
359.0	2.346697E-01
359.5	2.826302E-01
360.0	2.989636E-01
360.5	2.825402E-01
361.0	2.600144E-01
361.5	2.546766E-01
362.0	2.669916E-01
362.5	2.924312E-01
363.0	3.008328E-01
363.5	2.925862E-01
364.0	3.030169E-01
364.5	3.001681E-01
365.0	3.116684E-01
365.5	3.430007E-01
366.0	3.675107E-01
366.5	3.681405E-01
367.0	3.612783E-01
367.5	3.544260E-01
368.0	3.336595E-01
368.5	3.314154E-01
369.0	3.464343E-01
369.5	3.721938E-01
370.0	3.773817E-01
370.5	3.411664E-01
371.0	3.465492E-01
371.5	3.601087E-01
372.0	3.370831E-01
372.5	3.211346E-01
373.0	3.093044E-01
373.5	2.788168E-01
374.0	2.780870E-01
374.5	2.760229E-01
375.0	2.945304E-01
375.5	3.256777E-01
376.0	3.372630E-01
376.5	3.318152E-01
377.0	3.559804E-01
377.5	3.971137E-01
378.0	4.278012E-01
378.5	4.169207E-01
379.0	3.717940E-01
379.5	3.332796E-01
380.0	3.502427E-01
380.5	3.752226E-01
381.0	3.817599E-01
381.5	3.440453E-01
382.0	2.932709E-01
382.5	2.537070E-01
383.0	2.274026E-01
383.5	2.201556E-01
384.0	2.547365E-01
384.5	3.066704E-01
385.0	3.366383E-01
385.5	3.216843E-01
386.0	3.103739E-01
386.5	3.227189E-01
387.0	3.256027E-01
387.5	3.208897E-01
388.0	3.177809E-01
388.5	3.155518E-01
389.0	3.425759E-01
389.5	3.796958E-01
390.0	3.983332E-01
390.5	4.016918E-01
391.0	4.255172E-01
391.5	4.315447E-01
392.0	3.973036E-01
392.5	3.311505E-01
393.0	2.397776E-01
393.5	1.906825E-01
394.0	2.477344E-01
394.5	3.417862E-01
395.0	4.036960E-01
395.5	4.300153E-01
396.0	3.781214E-01
396.5	2.749733E-01
397.0	2.130085E-01
397.5	3.145972E-01
398.0	4.260719E-01
398.5	5.032456E-01
399.0	5.344329E-01
399.5	5.508263E-01
400.0	8.352357E-01
401.0	1.159829E+00
402.0	1.205610E+00
403.0	1.160828E+00
404.0	1.179621E+00
405.0	1.150633E+00
406.0	1.122244E+00
407.0	1.102152E+00
408.0	1.150933E+00
409.0	1.229401E+00
410.0	1.048074E+00
411.0	1.173323E+00
412.0	1.247293E+00
413.0	1.196614E+00
414.0	1.183719E+00
415.0	1.225302E+00
416.0	1.261887E+00
417.0	1.230700E+00
418.0	1.177222E+00
419.0	1.225302E+00
420.0	1.122744E+00
421.0	1.275182E+00
422.0	1.257789E+00
423.0	1.217905E+00
424.0	1.211208E+00
425.0	1.248293E+00
426.0	1.213007E+00
427.0	1.171924E+00
428.0	1.183419E+00
429.0	1.095855E+00
430.0	8.742649E-01
431.0	7.936177E-01
432.0	1.320164E+00
433.0	1.228301E+00
434.0	1.134739E+00
435.0	1.244694E+00
436.0	1.365345E+00
437.0	1.393734E+00
438.0	1.223303E+00
439.0	1.177022E+00
440.0	1.349352E+00
441.0	1.330759E+00
442.0	1.424421E+00
443.0	1.444713E+00
444.0	1.407828E+00
445.0	1.461306E+00
446.0	1.310268E+00
447.0	1.489695E+00
448.0	1.507488E+00
449.0	1.503889E+00
450.0	1.558867E+00
451.0	1.616643E+00
452.0	1.547571E+00
453.0	1.429120E+00
454.0	1.532877E+00
455.0	1.521782E+00
456.0	1.571762E+00
457.0	1.584756E+00
458.0	1.550770E+00
459.0	1.538475E+00
460.0	1.528479E+00
461.0	1.582057E+00
462.0	1.596851E+00
463.0	1.602449E+00
464.0	1.553769E+00
465.0	1.534377E+00
466.0	1.566664E+00
467.0	1.496692E+00
468.0	1.561266E+00
469.0	1.567563E+00
470.0	1.507088E+00
471.0	1.532478E+00
472.0	1.611945E+00
473.0	1.549271E+00
474.0	1.566464E+00
475.0	1.617843E+00
476.0	1.562465E+00
477.0	1.571762E+00
478.0	1.622341E+00
479.0	1.590954E+00
480.0	1.617443E+00
481.0	1.617043E+00
482.0	1.622941E+00
483.0	1.603149E+00
484.0	1.572761E+00
485.0	1.567663E+00
486.0	1.271084E+00
487.0	1.423522E+00
488.0	1.540674E+00
489.0	1.451311E+00
490.0	1.621741E+00
491.0	1.558867E+00
492.0	1.486296E+00
493.0	1.589654E+00
494.0	1.551870E+00
495.0	1.647831E+00
496.0	1.566964E+00
497.0	1.593753E+00
498.0	1.550270E+00
499.0	1.550070E+00
500.0	1.544473E+00
501.0	1.497192E+00
502.0	1.495992E+00
503.0	1.564664E+00
504.0	1.458108E+00
505.0	1.562865E+00
506.0	1.625740E+00
507.0	1.555368E+00
508.0	1.515884E+00
509.0	1.588655E+00
510.0	1.547471E+00
511.0	1.576260E+00
512.0	1.617943E+00
513.0	1.519983E+00
514.0	1.487896E+00
515.0	1.530778E+00
516.0	1.544873E+00
517.0	1.258889E+00
518.0	1.439715E+00
519.0	1.395133E+00
520.0	1.522981E+00
521.0	1.533977E+00
522.0	1.568363E+00
523.0	1.478300E+00
524.0	1.589854E+00
525.0	1.577459E+00
526.0	1.533477E+00
527.0	1.341155E+00
528.0	1.535076E+00
529.0	1.606447E+00
530.0	1.543973E+00
531.0	1.628539E+00
532.0	1.599150E+00
533.0	1.428020E+00
534.0	1.529579E+00
535.0	1.552869E+00
536.0	1.619242E+00
537.0	1.498291E+00
538.0	1.573161E+00
539.0	1.534577E+00
540.0	1.481898E+00
541.0	1.424521E+00
542.0	1.550470E+00
543.0	1.524981E+00
544.0	1.578559E+00
545.0	1.542873E+00
546.0	1.528479E+00
547.0	1.548371E+00
548.0	1.504289E+00
549.0	1.551370E+00
550.0	1.539275E+00
551.0	1.537575E+00
552.0	1.569063E+00
553.0	1.524381E+00
554.0	1.554269E+00
555.0	1.562765E+00
556.0	1.535976E+00
557.0	1.498191E+00
558.0	1.530378E+00
559.0	1.447712E+00
560.0	1.473402E+00
561.0	1.558867E+00
562.0	1.484097E+00
563.0	1.540174E+00
564.0	1.509987E+00
565.0	1.519483E+00
566.0	1.436816E+00
567.0	1.531378E+00
568.0	1.517384E+00
569.0	1.480099E+00
570.0	1.480998E+00
571.0	1.432518E+00
572.0	1.512786E+00
573.0	1.519183E+00
574.0	1.511286E+00
575.0	1.477100E+00
576.0	1.464805E+00
577.0	1.501690E+00
578.0	1.455409E+00
579.0	1.476400E+00
580.0	1.501390E+00
581.0	1.508287E+00
582.0	1.531378E+00
583.0	1.547272E+00
584.0	1.544173E+00
585.0	1.531778E+00
586.0	1.494693E+00
587.0	1.527480E+00
588.0	1.492794E+00
589.0	1.288876E+00
590.0	1.370343E+00
591.0	1.465605E+00
592.0	1.434817E+00
593.0	1.455509E+00
594.0	1.448512E+00
595.0	1.430219E+00
