> Data from TCAD AM15g
>lambda (nm)	P(W/m2)
3.08E+02	1.30E-01
3.13E+02	3.76E-01
3.18E+02	7.23E-01
3.23E+02	1.07E+00
3.28E+02	1.61E+00
3.33E+02	1.97E+00
3.38E+02	2.07E+00
3.43E+02	2.19E+00
3.48E+02	2.31E+00
3.55E+02	5.03E+00
3.65E+02	5.94E+00
3.75E+02	6.90E+00
3.85E+02	7.18E+00
3.95E+02	8.68E+00
4.05E+02	1.09E+01
4.15E+02	1.17E+01
4.25E+02	1.13E+01
4.35E+02	1.19E+01
4.45E+02	1.42E+01
4.55E+02	1.56E+01
4.65E+02	1.59E+01
4.75E+02	1.61E+01
4.85E+02	1.59E+01
4.95E+02	1.55E+01
5.05E+02	1.57E+01
5.15E+02	1.54E+01
5.25E+02	1.53E+01
5.35E+02	1.56E+01
5.45E+02	1.56E+01
5.60E+02	3.07E+01
5.80E+02	2.90E+01
6.00E+02	2.88E+01
6.20E+02	2.92E+01
6.40E+02	2.86E+01
6.60E+02	2.82E+01
6.80E+02	2.53E+01
7.00E+02	2.45E+01
7.14E+02	9.32E+00
7.21E+02	6.17E+00
7.32E+02	1.81E+01
7.47E+02	1.57E+01
7.56E+02	5.93E+00
7.61E+02	4.55E+00
7.66E+02	4.19E+00
7.74E+02	1.30E+01
7.90E+02	2.22E+01
8.08E+02	1.55E+01
8.20E+02	6.54E+00
8.28E+02	6.81E+00
8.36E+02	7.51E+00
8.50E+02	1.94E+01
8.70E+02	1.91E+01
8.93E+02	2.10E+01
9.10E+02	7.09E+00
9.20E+02	6.80E+00
9.28E+02	2.74E+00
9.34E+02	2.32E+00
9.43E+02	3.15E+00
9.57E+02	7.15E+00
9.73E+02	8.81E+00
9.87E+02	9.07E+00
1.02E+03	3.38E+01
1.06E+03	1.99E+01
1.09E+03	1.58E+01
1.11E+03	5.22E+00
1.13E+03	1.49E+00
1.13E+03	1.13E+00
1.15E+03	5.66E+00
1.17E+03	7.60E+00
1.19E+03	8.85E+00
1.22E+03	1.58E+01
1.26E+03	2.46E+01
1.31E+03	9.96E+00
