> Air Mass 1.5 direct spectrum, on a horizontal plane
> data from Hulstrom, Bird and Riordan, Solar Cells, vol 15, 365-391 (1985)
> also in cited in: Partain, Solar Cells and their applications, Wiley 1995, p. 532
> first column is wavelength in nm
> second column, is incident power, in W/m2, 
> in a wavelength range from half-away the preceeding lambda-interval
> to half-away the next lambda-interval
> april 2008: in contrast to earlier SCAPS sprectra:
>    all the Hulström wavelengths are retained
>    second order Simpson for the numerical integration (instead of first order = trapezium rule)
> the total incident power (summing the data in the second column) is 767.17 W/m2
> in this table, the spectrum is normalised to 1 sun incident power (1000 W/m2) by multiplying the second column with 1000/767.17
> Up to SCAPS2.7: the original SCAPS spectra were called "AM...spe", and the spectra with the adaptions of april 2008: "New AM...spe"
> In SCAPS2.8: the original SCAPS spectra are still available as "old AM...spe"; and the spectra with the adaptions of april 2008 are called "AM...spe"
>
>lambda (nm)	P(W/m2)
305.0	0.02268
310.0	0.11251
315.0	0.27162
320.0	0.46315
325.0	0.67195
330.0	0.95334
335.0	1.03090
340.0	1.15579
345.0	1.23148
350.0	2.09838
360.0	3.22452
370.0	4.14984
380.0	4.69274
390.0	5.22799
400.0	7.12685
410.0	8.44762
420.0	8.86865
430.0	8.70196
440.0	10.41084
450.0	12.26734
460.0	12.87103
470.0	13.07551
480.0	13.49067
490.0	13.20342
500.0	13.41295
510.0	13.74925
520.0	13.39438
530.0	14.01794
540.0	14.14535
550.0	21.47018
570.0	28.19099
590.0	27.11919
610.0	28.08769
630.0	27.77452
650.0	27.62918
670.0	26.71544
690.0	23.47527
710.0	17.58426
718.0	7.72089
724.0	12.39333
740.0	17.98719
753.0	11.23843
758.0	5.81220
763.0	4.00963
768.0	9.10759
780.0	18.68735
800.0	20.18741
816.0	11.49030
824.0	7.08931
832.0	7.89005
840.0	14.60096
860.0	21.08173
880.0	22.34425
905.0	14.87637
915.0	7.50813
925.0	5.50408
930.0	2.77530
937.0	2.85610
948.0	5.36619
965.0	9.15289
980.0	10.33236
994.0	24.10278
1040.0	29.01525
1070.0	20.46795
1100.0	11.90791
1120.0	2.90810
1130.0	1.70373
1137.0	3.17257
1161.0	8.06913
1180.0	9.91237
1200.0	13.82844
1235.0	24.05232
1290.0	20.08252
1320.0	8.48672
1350.0	2.20576
1395.0	0.68790
1443.0	2.04218
1463.0	2.00220
1477.0	2.38288
1497.0	4.72611
1520.0	6.30929
1539.0	6.13401
1558.0	6.24721
1578.0	5.02543
1592.0	4.67987
1610.0	5.30887
1630.0	5.20290
1646.0	6.70882
1678.0	12.04213
1740.0	11.76253
1800.0	3.24179
1860.0	0.39594
1920.0	0.19976
1960.0	0.97892
1985.0	2.02921
2005.0	1.33983
2035.0	3.11030
2065.0	2.71257
2100.0	4.27227
2148.0	4.83798
2198.0	5.34309
2270.0	6.77080
2360.0	6.31152
2450.0	2.26345
2494.0	0.88592
2537.0	1.03791
2941.0	1.08646
2973.0	0.27113
3005.0	0.30485
3056.0	0.29801
3132.0	0.35194
3156.0	0.66244
3204.0	0.21302
3245.0	0.31450
3317.0	0.62910
3344.0	0.45854
3450.0	1.63791
3573.0	2.21979
3765.0	2.73538
4045.0	1.35835
