> Air Mass 1.5 direct spectrum, on a horizontal plane
> data from Hulstrom, Bird and Riordan, Solar Cells, vol 15, 365-391 (1985)
> also in cited in: Partain, Solar Cells and their applications, Wiley 1995, p. 532
> first column is wavelength in nm
> second column, is incident power, in W/m2, 
> in a wavelength range from half-away the preceeding lambda-interval
> to half-away the next lambda-interval
> april 2008: in contrast to earlier SCAPS sprectra:
>    all the Hulström wavelengths are retained
>    second order Simpson for the numerical integration (instead of first order = trapezium rule)
> the total incident power (summing the data in the second column) is 767.17 W/m2
> Up to SCAPS2.7: the original SCAPS spectra were called "AM...spe", and the spectra with the adaptions of april 2008: "New AM...spe"
> In SCAPS2.8: the original SCAPS spectra are still available as "old AM...spe"; and the spectra with the adaptions of april 2008 are called "AM...spe"
>
>lambda (nm)	P(W/m2)
305.0	0.01740
310.0	0.08631
315.0	0.20838
320.0	0.35531
325.0	0.51550
330.0	0.73138
335.0	0.79088
340.0	0.88669
345.0	0.94475
350.0	1.60981
360.0	2.47375
370.0	3.18363
380.0	3.60013
390.0	4.01075
400.0	5.46750
410.0	6.48075
420.0	6.80375
430.0	6.67588
440.0	7.98688
450.0	9.41113
460.0	9.87425
470.0	10.03113
480.0	10.34963
490.0	10.12925
500.0	10.29000
510.0	10.54800
520.0	10.27575
530.0	10.75413
540.0	10.85188
550.0	16.47125
570.0	21.62725
590.0	20.80500
610.0	21.54800
630.0	21.30775
650.0	21.19625
670.0	20.49525
690.0	18.00950
710.0	13.49010
718.0	5.92323
724.0	9.50778
740.0	13.79921
753.0	8.62178
758.0	4.45894
763.0	3.07606
768.0	6.98706
780.0	14.33635
800.0	15.48715
816.0	8.81500
824.0	5.43870
832.0	6.05300
840.0	11.20140
860.0	16.17325
880.0	17.14181
905.0	11.41269
915.0	5.76000
925.0	4.22256
930.0	2.12913
937.0	2.19111
948.0	4.11678
965.0	7.02181
980.0	7.92666
994.0	18.49090
1040.0	22.25960
1070.0	15.70238
1100.0	9.13538
1120.0	2.23100
1130.0	1.30705
1137.0	2.43390
1161.0	6.19039
1180.0	7.60446
1200.0	10.60875
1235.0	18.45219
1290.0	15.40669
1320.0	6.51075
1350.0	1.69219
1395.0	0.52774
1443.0	1.56670
1463.0	1.53603
1477.0	1.82808
1497.0	3.62573
1520.0	4.84029
1539.0	4.70583
1558.0	4.79266
1578.0	3.85535
1592.0	3.59025
1610.0	4.07280
1630.0	3.99150
1646.0	5.14680
1678.0	9.23835
1740.0	9.02385
1800.0	2.48700
1860.0	0.30375
1920.0	0.15325
1960.0	0.75100
1985.0	1.55675
2005.0	1.02788
2035.0	2.38613
2065.0	2.08100
2100.0	3.27755
2148.0	3.71155
2198.0	4.09905
2270.0	5.19435
2360.0	4.84200
2450.0	1.73645
2494.0	0.67965
2537.0	0.79625
2941.0	0.83350
2973.0	0.20800
3005.0	0.23388
3056.0	0.22863
3132.0	0.27000
3156.0	0.50820
3204.0	0.16343
3245.0	0.24128
3317.0	0.48263
3344.0	0.35178
3450.0	1.25655
3573.0	1.70295
3765.0	2.09850
4045.0	1.04209
