> Air Mass 1.5 global spectrum, on a horizontal plane
> data from Hulstrom, Bird and Riordan, Solar Cells, vol 15, 365-391 (1985)
> also in cited in: Partain, Solar Cells and their applications, Wiley 1995, p. 532
> first column is wavelength in nm
> second column, is incident power, in W/m2, 
> in a wavelength range from half-away the preceeding lambda-interval
> to half-away the next lambda-interval
> april 2008: in contrast to earlier SCAPS sprectra:
>    all the Hulström wavelengths are retained
>    second order Simpson for the numerical integration (instead of first order = trapezium rule)
> the total incident power (summing the data in the second column) is 962.58 W/m2
> in this table, the spectrum is normalised to 1 sun incident power (1000 W/m2) by multiplying the second column with 1000/962.58130
> Up to SCAPS2.7: the original SCAPS spectra were called "AM...spe", and the spectra with the adaptions of april 2008: "New AM...spe"
> In SCAPS2.8: the original SCAPS spectra are still available as "old AM...spe"; and the spectra with the adaptions of april 2008 are called "AM...spe"
>
>lambda (nm)	P(W/m2)
305.0	0.04800
310.0	0.23238
315.0	0.54450
320.0	0.90135
325.0	1.28742
330.0	1.88289
335.0	1.98457
340.0	2.15306
345.0	2.22299
350.0	3.65008
360.0	5.34591
370.0	6.54581
380.0	7.08628
390.0	7.57170
400.0	9.95916
410.0	11.44670
420.0	11.68187
430.0	11.15997
440.0	13.02812
450.0	15.09041
460.0	15.89996
470.0	15.91177
480.0	16.13227
490.0	15.53414
500.0	15.54154
510.0	15.70997
520.0	15.10392
530.0	15.60647
540.0	15.56661
550.0	23.28738
570.0	29.95176
590.0	28.43396
610.0	29.38973
630.0	28.80925
650.0	28.39838
670.0	27.29172
690.0	23.75072
710.0	17.68235
718.0	7.41233
724.0	11.80100
740.0	17.21923
753.0	10.77465
758.0	5.56304
763.0	3.79513
768.0	8.67959
780.0	17.84488
800.0	19.15106
816.0	10.61303
824.0	6.53929
832.0	7.26152
840.0	13.45886
860.0	19.43966
880.0	20.55956
905.0	13.59171
915.0	6.81306
925.0	4.97575
930.0	2.47678
937.0	2.53067
948.0	4.77279
965.0	8.20990
980.0	9.33587
994.0	21.93074
1040.0	26.39676
1070.0	18.50298
1100.0	10.41107
1120.0	2.49641
1130.0	1.45884
1137.0	2.72242
1161.0	6.96365
1180.0	8.60153
1200.0	12.00256
1235.0	20.93583
1290.0	17.42957
1320.0	7.30847
1350.0	1.86257
1395.0	0.57198
1443.0	1.69503
1463.0	1.66614
1477.0	1.98705
1497.0	3.96003
1520.0	5.31758
1539.0	5.19100
1558.0	5.29055
1578.0	4.24367
1592.0	3.91570
1610.0	4.43194
1630.0	4.34685
1646.0	5.60431
1678.0	10.05307
1740.0	9.79486
1800.0	2.66783
1860.0	0.32569
1920.0	0.16752
1960.0	0.80785
1985.0	1.67246
2005.0	1.10419
2035.0	2.56887
2065.0	2.23780
2100.0	3.53577
2148.0	4.00654
2198.0	4.42194
2270.0	5.61576
2360.0	5.22307
2450.0	1.86556
2494.0	0.73717
2537.0	0.85958
2941.0	0.90637
2973.0	0.22564
3005.0	0.25458
3056.0	0.24642
3132.0	0.29146
3156.0	0.54884
3204.0	0.17814
3245.0	0.26120
3317.0	0.52581
3344.0	0.38099
3450.0	1.36829
3573.0	1.85006
3765.0	2.27700
4045.0	1.12998
