> Air Mass 1.5 global spectrum, on a horizontal plane
> data from Hülström, Bird and Riordan, Solar Cells, vol 15, 365-391 (1985)
> also in cited in: Partain, Solar Cells and their applications, Wiley 1995, p. 532
> first column is wavelength in nm
> second column, is incident power, in W/m2, 
> in a wavelength range from half-away the preceeding lambda-interval
> to half-away the next lambda-interval
> adaption april 2008: in contrast to earlier SCAPS spectra:
>    all the Hülström wavelengths are retained
>    second order Simpson for the numerical integration (instead of first order = trapezium rule)
> the total incident power (summing the data in the second column) is 962.58 W/m2
> Up to SCAPS2.7: the original SCAPS spectra were called "AM...spe", and the spectra with the adaptions of april 2008: "New AM...spe"
> In SCAPS2.8: the original SCAPS spectra are still available as "old AM...spe"; and the spectra with the adaptions of april 2008 are called "AM...spe"
>lambda (nm)	P(W/m2)
305.0	0.04620
310.0	0.22369
315.0	0.52413
320.0	0.86763
325.0	1.23925
330.0	1.81244
335.0	1.91031
340.0	2.07250
345.0	2.13981
350.0	3.51350
360.0	5.14588
370.0	6.30088
380.0	6.82113
390.0	7.28838
400.0	9.58650
410.0	11.01838
420.0	11.24475
430.0	10.74238
440.0	12.54063
450.0	14.52575
460.0	15.30500
470.0	15.31638
480.0	15.52863
490.0	14.95288
500.0	14.96000
510.0	15.12213
520.0	14.53875
530.0	15.02250
540.0	14.98413
550.0	22.41600
570.0	28.83100
590.0	27.37000
610.0	28.29000
630.0	27.73125
650.0	27.33575
670.0	26.27050
690.0	22.86200
710.0	17.02070
718.0	7.13498
724.0	11.35943
740.0	16.57491
753.0	10.37148
758.0	5.35488
763.0	3.65313
768.0	8.35481
780.0	17.17715
800.0	18.43445
816.0	10.21590
824.0	6.29460
832.0	6.98980
840.0	12.95525
860.0	18.71225
880.0	19.79025
905.0	13.08313
915.0	6.55813
925.0	4.78956
930.0	2.38410
937.0	2.43598
948.0	4.59420
965.0	7.90270
980.0	8.98654
994.0	21.11013
1040.0	25.40903
1070.0	17.81063
1100.0	10.02150
1120.0	2.40300
1130.0	1.40425
1137.0	2.62055
1161.0	6.70308
1180.0	8.27968
1200.0	11.55344
1235.0	20.15244
1290.0	16.77738
1320.0	7.03500
1350.0	1.79288
1395.0	0.55058
1443.0	1.63160
1463.0	1.60380
1477.0	1.91270
1497.0	3.81185
1520.0	5.11860
1539.0	4.99676
1558.0	5.09259
1578.0	4.08488
1592.0	3.76918
1610.0	4.26610
1630.0	4.18420
1646.0	5.39460
1678.0	9.67690
1740.0	9.42835
1800.0	2.56800
1860.0	0.31350
1920.0	0.16125
1960.0	0.77763
1985.0	1.60988
2005.0	1.06288
2035.0	2.47275
2065.0	2.15406
2100.0	3.40346
2148.0	3.85663
2198.0	4.25648
2270.0	5.40563
2360.0	5.02763
2450.0	1.79575
2494.0	0.70959
2537.0	0.82741
2941.0	0.87245
2973.0	0.21720
3005.0	0.24505
3056.0	0.23720
3132.0	0.28055
3156.0	0.52830
3204.0	0.17148
3245.0	0.25143
3317.0	0.50614
3344.0	0.36674
3450.0	1.31709
3573.0	1.78084
3765.0	2.19180
4045.0	1.08770
